txn_id,date,merchant,amount,currency,status,category,account_id,notes
TXN001,19-06-2026,Swiggy,450.00,INR,SUCCESS,Food,ACC100,
TXN002,2026/06/18,Netflix,199.00,INR,success,Entertainment,ACC100,
TXN003,17-06-2026,Amazon,$15.50,usd,SUCCESS,Shopping,ACC100,
TXN004,16-06-2026,Uber,180.00,INR,SUCCESS,Transport,ACC100,
,15-06-2026,Ola Cabs,350.00,inr,SUCCESS,Transport,ACC100,
TXN005,14-06-2026,IRCTC,1250.00,INR,SUCCESS,,ACC200,
TXN006,13-06-2026,Airtel Bill,799.00,INR,PENDING,,ACC200,
TXN007,12-06-2026,Zomato,320.00,INR,SUCCESS,Food,ACC300,
TXN007,12-06-2026,Zomato,320.00,INR,SUCCESS,Food,ACC300,
TXN008,11-06-2026,McDonalds,150.00,INR,SUCCESS,Food,ACC400,
TXN009,10-06-2026,Starbucks,120.00,INR,SUCCESS,Food,ACC400,
TXN010,09-06-2026,Pizza Hut,180.00,INR,SUCCESS,Food,ACC400,
TXN011,08-06-2026,Swiggy,950.00,INR,SUCCESS,,ACC400,SUSPICIOUS?
TXN012,07-06-2026,Swiggy,$20.00,USD,SUCCESS,Food,ACC500,
TXN013,06-06-2026,Ola Cabs,15.00,usd,FAILED,Transport,ACC500,
TXN014,05-06-2026,IRCTC,45.00,USD,SUCCESS,Travel,ACC500,SUSPICIOUS
TXN015,2026/05/08,Swiggy,81.00,INR,success,Food,ACC100,
TXN016,01-09-2026,Swiggy,376.00,INR,SUCCESS,Food,ACC300,
TXN017,06-12-2026,Zomato,184.00,INR,PENDING,,ACC400,
TXN018,2026/05/26,Amazon,383.00,INR,FAILED,,ACC300,
TXN019,12-10-2026,Swiggy,370.00,INR,PENDING,Food,ACC200,
TXN020,2026/11/27,Starbucks,93.00,INR,FAILED,Food,ACC100,Duplicate?
TXN021,08-03-2026,McDonalds,204.00,INR,FAILED,Food,ACC100,
TXN022,13-05-2026,Flipkart,$118.00,usd,SUCCESS,Shopping,ACC400,SUSPICIOUS
TXN023,2026/04/24,Airtel,285.00,INR,success,Utilities,ACC200,
TXN024,2026/01/28,Flipkart,88.00,INR,success,,ACC400,Duplicate?
TXN025,18-01-2026,Google,379.00,INR,FAILED,Other,ACC300,
TXN026,2026/12/24,Netflix,266.00,INR,FAILED,Entertainment,ACC200,
TXN027,2026/09/01,Jio,175.00,INR,PENDING,Utilities,ACC300,
